title,source,url,time_before
騎士墜橋 燒臘店少東不治 北宜1日2死,民視新聞影音,https://today.line.me/tw/v2/article/kgwWqw,2021-08-26 20:53
等單爆爭執！老闆竟嗆：沒用才跑外送,三立新聞網影音,https://today.line.me/tw/v2/article/a2k0N8,2021-08-26 17:53
駐港辦遭指亂港代理人 陸委會駁斥,NOWnews 今日新聞,https://today.line.me/tw/v2/article/Jx5VqP,2021-08-26 18:53
桃園新屋工廠火警 濃煙5公里外可見,CTWANT,https://today.line.me/tw/v2/article/0xLwap,2021-08-26 19:53
醉漢大鬧診所 拿牙刷柄攻擊護理師,民視新聞影音,https://today.line.me/tw/v2/article/oyVZWq,2021-08-26 18:53
採收文旦喪命 蹦蹦車斜坡下滑輾農民,三立新聞網影音,https://today.line.me/tw/v2/article/mnNoRn,2021-08-26 20:53
前海巡隊員當走私貓掮客收押 檢警追藏鏡人,自由電子報,https://today.line.me/tw/v2/article/Dxx9no,2021-08-26 15:53
健康因素請辭駐泰代表 李應元返台暴瘦一圈,新頭殼,https://today.line.me/tw/v2/article/MxWQZV,2021-08-26 19:53
涉收賄2600萬鬼扯「燒光了」 少將處長遭起訴,上報,https://today.line.me/tw/v2/article/w88y0R,2021-08-26 15:53
「我船要沉了」最瞎理由討125萬 陳愛伯完蛋了,民視新聞影音,https://today.line.me/tw/v2/article/BxgZ96,2021-08-26 18:53
影音,男大生北上租房 「房東」拿到錢就消失,https://today.line.me/tw/v2/article/Nx8nQ1,2021-08-26 18:53
影音,神鷹操演 震撼發射18枚響尾蛇飛彈,https://today.line.me/tw/v2/article/5xxYpV,2021-08-26 17:53
攤商怨五倍券不能找零 政院回應了,三立新聞網,https://today.line.me/tw/v2/article/2xxBBa,2021-08-26 16:53
「敘利亞妹子要給我美金900萬」 警方急阻攔,TVBS,https://today.line.me/tw/v2/article/JxxRNM,2021-08-26 16:53
影音,搶車道互不相讓 駕駛火爆嗆聲,https://today.line.me/tw/v2/article/mnnpQZ,2021-08-26 16:53
沒斷電就上工？27歲男慘遭鐵捲門電死 檢警要查「2前輩」,TVBS,https://today.line.me/tw/v2/article/Lxxejj,2021-08-26 16:53
扯！大安分局小隊長 涉栽黑槍搶績效,上報,https://today.line.me/tw/v2/article/zRRO5k,2021-08-26 22:53
影音,進診所遭拒 男怒罵醫護攻擊蒐證民眾,https://today.line.me/tw/v2/article/a22E6G,2021-08-26 22:53
車禍擦撞！駕駛給2千「以為和解」 挨告肇逃,TVBS,https://today.line.me/tw/v2/article/ZvvVkg,2021-08-26 22:53
影音,沒算好社交距離 攝狼偷拍高中女被抓包了,https://today.line.me/tw/v2/article/yEp8YG,2021-08-26 22:53
近200萬劑BNT將到貨　這120萬人優先施打,上報,https://today.line.me/tw/v2/article/kgg6jw,2021-08-26 15:53
首批BNT學生優先接種　7、8年級生炸鍋：被迫打高端？,台灣好新聞,https://today.line.me/tw/v2/article/9xxjJK,2021-08-26 16:53
台灣半路攔截到土耳其的200萬劑BNT　成功原因是放棄標籤執念,上報,https://today.line.me/tw/v2/article/gmjD1N,2021-08-26 22:53
少將處長收賄2600萬買豪宅遭起訴　竟鬼扯「賄款燒光了」,上報,https://today.line.me/tw/v2/article/w88y0R,2021-08-26 15:53
【高端首例死亡】作家解剖出爐　指揮中心：主動脈剝離併心包填塞,上報,https://today.line.me/tw/v2/article/5xxqer,2021-08-26 15:53
扯！男打高端猝死竟「被增重」40公斤　指揮中心稱「體重是目測」盼見諒,上報,https://today.line.me/tw/v2/article/p7yN19,2021-08-26 20:53
新聞360》劉泰英爆當年馬習會秘辛！直言國民黨大選穩死關鍵,自由電子報,https://today.line.me/tw/v2/article/ExxX8k,2021-08-26 22:53
BNT疫苗即將到貨　游盈隆曝蔡政府隱憂：400萬莫德納族群怒火悶燒,風傳媒,https://today.line.me/tw/v2/article/2xx8XO,2021-08-26 15:53
駐泰代表李應元請辭回台　瘦一大圈,三立新聞網,https://today.line.me/tw/v2/article/DxnoQ5,2021-08-26 20:53
「愛國手臂」狂縮　專家：高端死亡通報比AZ、莫德納快太多,上報,https://today.line.me/tw/v2/article/Exxpqa,2021-08-26 22:53
曾說BNT疫苗標籤不能出現復必泰？羅秉成批國民黨散播不實訊息,新頭殼,https://today.line.me/tw/v2/article/a2k986,2021-08-26 17:53
BNT上有「復必泰」標籤藍批陳時中 民進黨：該道歉的是中國,CNEWS 匯流新聞網,https://today.line.me/tw/v2/article/9xxggR,2021-08-26 22:53
打破森林法紀錄！買賣盜伐珍貴林木 集團首腦判2年半重罰3.2億,自由電子報,https://today.line.me/tw/v2/article/lNgaZB,2021-08-26 20:53
有「復必泰」就是中國產的？ 孫大千： 鬼月說鬼話 那BMW是國產的？,新頭殼,https://today.line.me/tw/v2/article/ExxG2m,2021-08-26 22:53
轉一圈又接受復必泰！宅神酸中央好棒棒：怎不去風力發電,TVBS,https://today.line.me/tw/v2/article/8xxjVn,2021-08-26 16:53
復必泰BNT要來了！陳佩琪嗆民進黨　紅檳榔、小粉紅封號還給你,中廣新聞網,https://today.line.me/tw/v2/article/6xkEJX,2021-08-26 22:53
侯友宜霸氣推5千換1萬 這縣每人領8千 22縣市最新加碼看這裡,中時新聞網,https://today.line.me/tw/v2/article/oyyp3j,2021-08-26 16:53
蔡其昌出席籃球場啟用未能致詞 盧秀燕：「抱歉，不好意思」,民眾日報,https://today.line.me/tw/v2/article/3xxwlZ,2021-08-26 15:53
拿全台全國做文章 柯文哲點名「這媒體」惡質,中廣新聞網,https://today.line.me/tw/v2/article/zREJ2D,2021-08-26 18:53
